gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,commonName.default,opponentCommonName.default,opponentCommonName.fr
2021020166,CAR,R,2021-11-06,0,0,0,-1,0,0,0,0,4,20,0,0,FLA,0,15:02,Hurricanes,Panthers,NA
2021020185,CAR,R,2021-11-09,1,0,1,0,0,0,1,1,3,24,0,0,TBL,0,21:31,Hurricanes,Lightning,NA
2021020242,CAR,R,2021-11-16,0,2,2,2,0,0,0,0,0,20,0,0,VGK,0,17:08,Hurricanes,Golden Knights,NA
2021020258,CAR,R,2021-11-18,0,1,1,1,0,0,0,0,0,20,0,0,ANA,2,19:00,Hurricanes,Ducks,NA
2021020272,CAR,R,2021-11-20,1,0,1,0,0,0,1,0,3,22,0,0,LAK,0,17:13,Hurricanes,Kings,NA
2021020286,CAR,R,2021-11-22,0,0,0,0,0,0,0,0,1,17,0,0,SJS,0,16:53,Hurricanes,Sharks,NA
2021020303,CAR,R,2021-11-24,0,0,0,-1,0,0,0,0,3,20,0,0,SEA,0,16:24,Hurricanes,Kraken,NA
2021020308,CAR,R,2021-11-26,0,1,1,1,0,0,0,0,2,23,0,0,PHI,2,19:35,Hurricanes,Flyers,NA
2021020329,CAR,H,2021-11-28,0,1,1,0,0,0,0,0,2,26,0,0,WSH,0,18:23,Hurricanes,Capitals,NA
2021020343,CAR,R,2021-11-30,0,0,0,-2,0,0,0,0,3,22,0,0,DAL,0,20:29,Hurricanes,Stars,NA
2021020357,CAR,H,2021-12-02,0,0,0,-1,0,0,0,0,4,24,0,0,OTT,0,20:55,Hurricanes,Senators,Sénateurs
2021020373,CAR,H,2021-12-04,1,0,1,1,0,0,0,0,2,21,0,0,BUF,0,14:57,Hurricanes,Sabres,NA
2021020395,CAR,R,2021-12-07,1,0,1,0,1,1,1,0,1,16,0,0,WPG,0,12:51,Hurricanes,Jets,NA
2021020407,CAR,R,2021-12-09,0,0,0,0,0,0,0,0,3,19,0,0,CGY,0,18:35,Hurricanes,Flames,NA
2021020426,CAR,R,2021-12-11,0,0,0,0,0,0,0,0,1,21,0,0,EDM,0,15:42,Hurricanes,Oilers,NA
2021020434,CAR,R,2021-12-12,1,0,1,0,0,0,0,0,2,23,0,0,VAN,2,21:24,Hurricanes,Canucks,NA
2021020445,CAR,R,2022-02-12,0,0,0,-2,0,0,0,0,2,24,0,0,MIN,2,17:30,Hurricanes,Wild,NA
2021020459,CAR,H,2021-12-16,0,2,2,2,0,0,0,0,2,26,0,0,DET,2,23:20,Hurricanes,Red Wings,NA
2021020474,CAR,H,2021-12-18,0,0,0,0,0,0,0,0,0,5,0,0,LAK,0,3:04,Hurricanes,Kings,NA
2021020485,CAR,H,2022-02-18,0,2,2,2,0,0,0,0,0,20,0,0,NSH,0,15:45,Hurricanes,Predators,NA
2021020494,CAR,R,2022-02-10,0,1,1,1,0,0,0,0,0,18,0,0,BOS,2,12:04,Hurricanes,Bruins,NA
